,ID,Comment
59,              ROBIN WANGY            ,HEY PUASA HEY JAN NONTON SAMBIL PUASA !!!
60,              ROZERİN ACIOĞLU            ,"Aaaahhh 44 minutes ago !!!!Boki , you're the queen of mukbang 👑Love from Turkey ❤❤❤"
61,              Jas For Life            ,"I love watching the way you open, grind and chew food in your mouth Boki! Fan from the Philippines."
62,              Nabila Nirjhor            ,Boki's food looks so yummy 💜💜💖
63,              Riya Sparkles            ,"It's super calm...Boki... if u see this, then pleaseeeeee reply~~~~"
64,              stressed multi            ,Bokiiiii cutieeee
65,              Shariq Ahmed            ,Early asf like a lightning bolt ⚡️😜❤️
66,              Hannah Gomez            ,"Boki = The best asmrist, cute and just AMAZIN (PERIODT.)"
67,              Azizah Mila            ,6:33 i was shocked too 😂
68,              しゅい            ,天丼ビジュアル最高すぎ
69,              Akana Padma            ,I'm early today ❤️ lots of love from india
70,              Bint Hasan            ,youre smile is so 𝑪𝒖𝒕𝒆!!💜
71,              YUI LAN            ,ふりかけかけすぎでびびったw
72,              Salvador Correlo            ,I noticed you ate too fast but I realized I actually clicked the times two speed
73,              wendy wu            ,boki's videos are so well made !! the audio and definition quality are soo crisp !! love ur videos <33
74,              Twiceu Bang!트둥이 짱!            ,6:32 I also shocked when her food fall down 😂 cute Boki unnie
75,              mamta gupta            ,6:32...Oooo my god... At this point... U r looking so cute 💓
76,              Yssa Rabe            ,i'm from the philippines 🥰 i love the way you eat
77,              Leiy Piad            ,"mafia in the morning, mukbangers at night🥰❤️"
78,              smilegorgeous            ,"HIIII, im earlier than i thought, teehee and drink lots of water ok!!😡❤️ I LOVE U <3"
79,              Jonalyn Gajol            ,Me:I wanna Eat that tooBoki : Keeps on slurpingGetting hungrier every minute while watching😂
80,              阿波野べる            ,ふりかけバサバサーってかけるのびっくりした(笑)
81,              Maryam Anwar            ,is it normal cause I’m watching this in Ramadan whilst fasting. :>
82,              Natasha Belle            ,If Boki start cooking it’s over for all other mukbangers lol ☺️☺️
83,              SSONG ASMR            ,Great video. You make me hungry when I see your video. You are so beautiful 🇰🇷💜
84,              Elen Garcia            ,A fan here from the 🇵🇭..💖
85,              Rushaa Noordally            ,I clicked soo fast wow amazing as always
86,              little angel            ,"i'm Chilean, and I love your videos. 💖✨"
87,              A. Jasmine            ,6:34 her reaction is so cute
88,              にーたろーげ            ,デカ盛り天丼ww😂
89,              sad night            ,I love u Boki 💖❤️💓💗💕You are so good ❤️❤️
90,              ぴえん            ,日本料理食べてくれるの嬉しいです❤
91,              Kim Ji Hoon            ,Now I’m so hungry 😭😭😭
92,              白咲まりん            ,ふりかけ雑すぎて量えぐくてわらったꉂ꒰笑꒱箸を持つのか素手で持つのか(´^ω^｀)
93,              Ishanika Taye            ,I so want to eat everything but it will all be wasted.😭
94,              ᴍɪʟᴋ ɢɢᴜᴋs            ,And here comes boki's big bite!~
95,              ぽぺてぃ            ,天丼にふりかけ🤭
96,              yu - cha            ,天丼には天つゆかけて食べるのをオススメしまーす☺️絶品ですよ♪
97,              tw r            ,복희 입천장 다 까진거 아냐? 겁나 바삭바삭하네 소리 존좋
98,              desylyn gallano            ,U know you wore your earphones wrong when it doesn't follow boki's coke's sound.
99,              Meghna Vaddadi            ,"Dear Boki, your videos are so calming and soothing, I always watch them to feel at peace and it really helps me sleep well with a smile on my face. Thank you for being who you are and making these videos!"
100,              海月            ,天丼あんまり好きじゃないけど、ボキちゃんが食べてるの見たら食べたくなってきた🤤
101,              a k            ,天丼にふりかけはさすがに天丼が泣く（笑）（笑）
102,              Fatima Khan            ,This looks so good. I feel so hungry all of a sudden (✿´‿`)
103,              Himanshu Arya            ,Love You Queen of Mukbangs BOKI 💞💞
104,              Maria Gena Poledo-Shepherd            ,Mukbang champion the one and only pretty BOKI.
105,              SSONG ASMR            ,Legends who are NOT LAYING on the bed BUT heavily doing Student Assignments? 👇🏻🇰🇷💜
