,ID,Comment
317,              Sharmishtha Sangamwar            ,Sending you so much love from India 🇮🇳 ❤ ♥ 💗 hope you always eat well.
318,              Xiaomi Redmi            ,"I like you so much,boki is the best❤️"
319,              Erlinda Deguzman            ,Good evening boki 💖nice to see you again watching you eating yummy foods😍💖Be Safe Always💖God Bless🙏🙏🙏
320,              불나방            ,볼 때 마다 느끼는 건데 음식 조합 최고인듯
321,              Cak Tomo            ,Bokiiiii love from indonesia 💕
322,              Oculus boy 32            ,Hi Boki 🥰🥰 I love your videos Queen of Muskbang’s
323,              น้ำพริก พัชรินทร์            ,Love u from Thailand💖💖
324,              KOMERICAN            ,소리가 진짜 갓 튀긴 새우를 바사사사삭 하는 소리가 나요ㅕ ㅋㅋㅋ
325,              호박고구마            ,헐 텐동에 김치우동이라뇨 제자 제일좋아하는 일식조합!아까 제육볶음먹었는데도 먹고싶어서 침 질질흘리면서 봤네요...ㅋㅋ
326,              S. Hee            ,"9시 됐는데 안 뜨길래 쬐끔 서운쓰 할 뻔ㅠㅠ 큐앤에이는 언제 올라오나유???  복희에 대해서 궁금한게 너모 많은뒤,,,"
327,              川崎美佳            ,ぼきちゃんのご飯っていつも美味しそうだけど、自分で作ってるのかな？それとも買ってきているのかな？天ぷらサックサクで美味しそう🥺💕
328,              JUNKIM ASMR            ,Let's see how many Boki Brazilian fans are here 💜 Oi~~
329,              Eat with Lina ASMR            ,😍We enjoy watching you eat this meal!! Thanks Boki!! ❤️
330,              smilegorgeous            ,6:33 press f for the accident 😌✊🏻
331,              감자            ,"아앗,, 오늘 진짜 튀김 먹고 싶었는데 대리만족 진짜 장난아니네여... 복희넴,,, 오늘도 맛있게 잘 봤습니당"
332,              Taekookies            ,Anyeong haseyo unnie
333,              Hanzhelle Ebarola            ,Your so pretty  boki 😍🥺
334,              가나다라            ,텐동 진짜 언젠간 먹어보고 싶은 음식... 파삭파삭 식감이 영상으로 다 느껴지네용 오늘두 잘 보고 가요!!!
335,              고래고래            ,복희 사고치고 은은한 미소 걸려있는 거 너무 귀여움ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 김튀김 와르르멘션
336,              모모쿠            ,씹고 삼키는 소리 넘 좋아요
337,              Lal Hmangaihzuali            ,Love it ❤️
338,              Just One More            ,"I don't know how can you eat all that food, but wow! Amazing!"
339,              이가            ,소리 개미쳤다
340,              김예서            ,언니 영상 보고 항상 대리만족하고 있어용🤗
341,              Zahra Bhaiji            ,When you watch the video and finish it then realize u werent first to comment cuz u watched the video😪😢
342,              Min yoongi Suga            ,TAKE CARE ALWAYS I LOVE YOU ❤️
343,              cc            ,今日の献立どうしようか悩んでいましたが天ぷらに決定です。ありがとうございます。天ぷらサクサク美味しかったです(σ*´∀｀)ありがとうございました✨
344,              아임꿀복 갬성주부일상Daily life of baby            ,튀김소리 우왕 ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ 미침 원래 면순인데 텐동이 뭔지 몰랐는데 이래서 좋아하는구나 사람들이....이래서 복희언니가 사운드를 하는거야 ㅜㅜㅜㅜ
345,              윤자몽            ,역시 조합천재...ㅠㅠ 김치우동에 튀김이라니 ㅋㅋ 튀김 소리 너무 좋다 바삭바삭 🥰
346,              Maira Alvarado            ,<3
347,              금순이            ,어쩜 이리 맛있게 묵는지
348,              공실이            ,배곺파..
349,              Kaniz Fatema            ,Queen of mukbang I love your videos.
350,              슈슈            ,언니도 준며들었구나
351,              Vegan Eats            ,Those big bites 😯😍
352,"              -HK; SV,            ",귀여우어ㅓㅓ
353,              이루지            ,그렇쥬. 맛있는 거 먹다가 떨어뜨렸을 때 세상 놀라쥬~😁😆😂
354,              언니나다섯살이야            ,ㅠㅠㅠㅠㅠㅠㅡㅠ 분명 존버탓는데... 분명zzz...
355,              첸첸            ,6:33 아 귀여웡 우ㅠㅠㅜ
356,              Yari Yari            ,في حد زيي مش فاهم اشي الا ان الاكل منظره بشهي
357,              도신            ,소리 무쳤다 텐동 마렵네 ㅠㅠ
358,              케찹            ,바삭바삭 대박이덩..
359,              언니나다섯살이야            ,내일 시험 조지고 올게..... ㅠ 그런의미로과학마저하러감
360,              윤은지            ,사각 사각 씹는 소리 듣기좋네용 ㅎ기회 되시면 회 먹방부탁해용 ♥^^
361,              배추배            ,아 미쳤어ㅜㅜ 내가 제일 좋아하는 텐동이라니😋 오늘도 역대급이다~~
362,              유말랭            ,시험기간에 힐링하네용 언니 사랑해염
363,              Mhmad Shboul123            ,لا اله الا الله محمد رسول الله صل الله عليه وسلم
364,              John Brown            ,At 6:35: FUMBLE!!!❤😄
365,              밍머            ,깜짝놀랜 보키 넘 기여워유 🤍
366,              alishba tarakzai            ,SARANGHAIYO UNNI LOVE FROM PAKISTAN
367,              임예슬            ,헐....갑자기 우동 땡기네요ㅠㅎㅎ진짜 이름답게 너무 복스럽게 드셔서 배에서 꼬르륵..
368,              Clariz Torres            ,Hello! So yummy❤️
369,              정은희            ,오늘도 정말 맛있겠다ㅠㅠ언니 입이 얼마나 크신거에요?...ㄷㄷ언니 한입만 영상 다봤는데 봐도봐도계속 깜짝 놀래용ㅎㅎㅋㅋ
370,              Salona            ,Waaaw let's see how many someone when him love boki
371,              Yssa Rabe            ,"hi , i always watch your video ever since you start uploading asmr 🤩"
372,              바다꽃            ,💛💛💛 먹방유트버 중에 문복희가 제일 좋아
373,              isrnice            ,"Kakak ini muka nya perpaduan antara naeun apink sama aktris jo boah ga sih, cangtip bangets elahhh 😘"
374,              언니나다섯살이야            ,내일 시험 시작인데... 걍 언니 영상 보는 중 ❤️❤️
375,              Hippo ASMR 입큰하마            ,0:53 Start eating
376,              Fatma Nur Baranok            ,To watch and get hungry in Ramadan 🤪
377,              Brooke Wilson            ,Early boki finally!!😭
378,              Ulivi Shohe            ,Second?Sending love from India💖
379,              동먹방            ,복희님 항상 배우고 가요 언제나 ㅎㅇㅌ!!
380,              にょん            ,ｳﾜｧ───( ﾟдﾟ)───ｧｧ!!!美味しそう！(   ᷇﹃  ᷆  )いろんな天ぷらがあって飽きずに食べれそう！
381,              Blanca Ramos            ,👍
382,              PaHoua Channel            ,Always always making it look so good!!!!
383,              김은비            ,오늘도 맛있는 조합이네요
384,              Himanshu Arya            ,Saranghaeyo Luvmun BOKI 💞💞
385,              Shariq Ahmed            ,Who else loves Boki and wants to meet her in person ? 🤗😍🥰😘❤️
386,              언니나다섯살이야            ,언니 감자탕...
387,              kim shoruq            ,당신은 멋진 소녀와 매우 아름다운 행운과 성공은 항상 사랑하는 팔레스타인에서 당신을 따라 계속 나는 당신을 매우 사랑 🇵🇸🇵🇸🇵🇸😘😘😘😍😍انتي فتاة رائعة وجميلة جدا جدا جدا بالتوفيق والنجاح استمري دائما متابعتك من فلسطين الحبيبة احبك جدا جدا جدا 🇵🇸🇵🇸🇵🇸😘😘😍😍😘
388,              Tae K            ,와... 진짜  맛있겠다.. 입에서 침이 주르륵 흐른다... 쩝..
389,              Sabina Sultanova            ,아주 좋은 ablaa
390,              우비            ,장어구이 장어덮밥마제소바 반쎄오 쌀국수 월남쌈영국식 스콘 빅토리아 케이크퐁실한 팬케이크등등등보고싶은 메뉴 적어봤어요..ㅎㅎ
391,              sanu            ,Love u r videos 😍☺️
392,              Nhi Lê            ,Love Boki <33
393,              케로로            ,즐겁게 잘 봤습니다
394,              ゆい            ,당신의 동영상을 보면 내일도 힘낼 수 있다…💗✊
395,              ぴ!            ,天丼とうどんって日本ぽくてうれしい~❕最近天ぷらしんどくて食べられないけどこの動画見てたらめちゃめちゃ美味しそうだな…🤤🤤
396,              Shahroz Kabir            ,Love you boki❤️❤️❤️ keep it up❤️
397,              서희            ,언니 오늘 메뉴도 최고... 이거 보고 허기짐 달래고 갈게요 🥺💖💖
398,              Jin Harem            ,Boki unnie SARANGHEO!!! 🥰❤❤❤
399,              Shariq Ahmed            ,ILYSM Boki. Sending you all the love from Pakistan 🇵🇰🥰😘💜Where in the world are you guys from ? 🌎😊
400,              cow daddy            ,❤️❤️❤️ who else loves boki??
401,              김혜림            ,복희언니 너무 이뻐용♥
402,              rahaf amer            ,사랑해 ♥️♥️
403,              99瞳            ,天丼にふりかけ&つけ醤油斬新だぁ～！！天ぷらの音が凄く良くてお腹すくなー
404,              ateezherseyim            ,I LOVE YOU!!
405,              マヨ            ,韓国の天ぷらは日本の天ぷらとはまた違う食べ物なんだろうな…途中で落としてちょっと戸惑ってるの可愛い💠
406,              Yumi            ,Tasty !
407,              jUst 4 fUn            ,..One of the great mukbanger of all time.. Ms. Boki.. 🤗
408,              나는멋쟁이            ,역시 👍👍👍먹방 여신 👍😍최고 최고 👍😍넘이쁘다 정말 최고얌
409,              이정현            ,소리가 ㄹㅈㄷ네
410,              PRINCESS CONSUELA            ,It's the smile after eating each peice for me 🥺👓🤏.
411,              소정            ,맛있게다...🤤🤤
412,              허필립            ,원-테이크 버전 보고 왔습니다 :) 축구 경기를 극적인 장면만 모아놓은 것 보단 생중계를 풀 버전으로 보는 게 더욱 재밌는 것처럼 원 샷 버전이 마음에 듭니다.
413,              장세령            ,언니~♡복희언니 사운드 많~~이!해줘요~♡언재나 재미있게 보고있고 사랑행♡☆
414,              kim lea            ,조합이 진짜 미쳤다ㅠ 튀김 먹는 소리 넘 좋아요... 낼은 나도 비슷하게 먹어야지... 배고프다ㅏㅏㅏㅏ
415,              Eliana Puha            ,"솔직히 말해서, 난 당신이 오늘 무엇을 무엇을 했는지 조차 모른다... 하지만 당신은 완전히 특별한 소녀입니다..! 행운을 빌어 요. 당신을 사랑해요!"
416,              Ling Ling            ,Love u unnie❤
417,              머인마            ,요즘 편집 잘하네 뱉는모습 찾기힘들다
418,              Marielle Castro            ,"Hi Boki, from Philippines ❣️"
419,              Sarah-Leigh Theron            ,💜💜💜
420,              えんま大王            ,今度は〝天つゆ”を付けて食べてみてください！
421,              Fiona Gildo            ,yummy!
422,              평범            ,복희 님은 항상 복스럽게 먹고 입도 커서 잘 삼키는게 너무 쉬원하고 한편으론 또 귀여우심 ㅜㅜ 진짜 인생 유튜버다 ㅜㅜ
423,              모지            ,0:52 !0! 김튀김은 처음 들어보는데...맛있을것 같네요👍🏻그리고 제가 아까 엄마가 해준 비냉 먹었는데... 이영상을 보니 배가 고파졌어요🤤오늘도 야식이닷...🤣
424,              홍삼            ,맛있겠다 ㅏ ㅏ... 나 다이어트 중인데... 언니 너무한거아냐 ㅜㅜ
425,              Shariq Ahmed            ,Who else is watching this video while fasting right now ? 🙋🏻‍♂️😋
426,              듀겅            ,ㅠㅠ 귀요엉
427,              장경수            ,정말 맛있게 드시네요.
428,              Marcus Bryan Mayor            ,I love you boki 😊❤️
429,              심심shimshim            ,김치우동 지짜 맛있겠다..이시간에 반칙이야아ㅠ 근데 텐동???맛있낭?약간 튀김느낌쓰?오늘도 잘보고강♡
430,              nana            ,天丼にふりかけはかけないよ！
431,              엄기준            ,♥♥
432,              이정민            ,오늘도 잘 보고 가요☺김치우동 너무 먹고싶다ㅏㅏ..🥺
433,              Vony Marinda            ,"Apa cuman aku org Indonesia yang nonton dia mukbang jadi ngiler parah,mana puasa lagi😂"
434,              Lama vid            ,Always looks so good ❤❤
435,              어어어어아어어어ᅥ            ,얘가 잘못을 했든 말든 니들은 얘한테 뭐 후원을 해줌? 논란생겨서 보기 싫으면 보지 마세요 누가 보라고 시켰나
436,              BLACK MØØD            ,I love youu💖💞💞
437,              [서이]TV            ,김치우동!!! 면 좋아하는데 너무 땡기자나😱😱😱
438,              김씨            ,김치우동 미쳣다......
439,              Shannen Montaña            ,Feel hungry again althou were done eating dinner🤤Boki😍😍😍😍sending love from Philippines❤❤❤
440,              bee            ,first
441,              Natalina Silva            ,👍👍🇧🇷
442,              Amreen Hussain            ,Looks delicious 😋
443,              Алаш Баласы            ,Боки салем карын тоятын кун барма сенде?😅🌹
444,              강슈크림            ,왕 마시게따... ㅠㅠ
445,              유유            ,오늘두 복스럽게 먹는 복희언니!!!!♡♡❤ 진짜 맛있겠다ㅜ  ㅠ
446,              홍도영            ,너무 맛있어 보이네요💕💕
447,              popo po            ,보키가 바삭한거 먹을때가 젤로조아ㅠ ㅇ ㅠ 뱌샥🍤
448,              Tarza            ,Hiiiiii i'm from kurdistan ♥️ yummmy 😋💗
449,              4B06鍾孟呈 CHUNG SARAH PARCO L.            ,我是香港人🥰
450,              설혜            ,"These days👍👍👍, I like it because I don't😶 edit it when I swallow it❤❤❤(요즘에는 삼킬때 편집 안해서 좋아요 !)"
451,              민트맛탕            ,와............. 진짜 맛잇겟다ㅠㅠㅠ
452,              윤학수            ,음식을 맛나게 먹는것도 복입니다 한이주전에 복희먹방을봤내요 소리가 그대로 들려서 보면서침이넘어가요
453,              stan ᴇɴʜʏᴘᴇɴ cause they r talented yikes            ,Sorry im late😓Happy eating:D
454,              陶田泰代            ,韓国の天丼は、ふりかけなんですね😌❤️
455,              ライライ            ,キムチうどん私もためしてみます
456,              Aica Hermoso            ,Hello Boki noticed me from the philippines😁🥰🥰😘
457,              Ling Ling            ,Saranghae❤
458,              머리큰유노            ,와 맛있겠다...😢
459,              차차ChaCha ASMR Shirtless상의탈의MUKBANG            ,소리 대에박 완전 바삭자삭 맛있겠어요~~^^
460,              핑후            ,오늘 저녁은 우동! 먹어야 겠어요ㅠㅠ
461,              Rjean gomez            ,Hi my queen Boki 😘🥰 eat well..and God bless..
462,              김수진            ,역대급이라 ㅋㅋ
463,              NINYBEE ASMR            ,That looks good and hunger!😋
464,              감자            ,"가지튀김,,,? 복희님 가지 좋아하시나요,,?"
465,              김소영            ,1시간전..! 늦었지만 언니 넘 맛있게 드세용..ㅠ  저도 한번 먹어볼게요! 그럼 유튜브 화이팅!!
466,              ARMY YUNA            ,Mashikepta😋❣
467,              Marie Garcia            ,Love you boki 😘
468,              soknea khim            ,haha i always watching before sleep😐
469,              Meraa hope            ,You are so pretty 🦋
470,              김뿌분            ,휴...내일 점심은 텐동으로....
471,              김석진김석진은 잘생겼습니다            ,당신 정말 예쁘 💖💖
472,              민트초코쪼아!            ,엄청 맛있어 보여요!저도 왠지모르게 먹고싶어지네요...
473,              셸림            ,꺄악 맛있겠당!! 오늘도 군침 도는 비쥬얼 😆 복희 언니 사랑해염 💖🌈
474,              Roger Rogermore            ,I wish I could taste all of that 🤤🤤
475,              권채은 Alice            ,바삭바삭 소리가 크으!!
476,              김하윤            ,언니 너무 예뻐요 😍💗💕❤
477,              白咲まりん            ,サクサク〜天ぷら食べたくなってきました〜🤤✨✨うどんもいいなぁ！　なんでも影響マン〰️🥲💭💕
478,              Kayla Germinal            ,The food is really appetizing😊
479,              포도            ,진짜 맛있겠다 배고프다ㅜㅜ
480,              대프리카            ,♥♥♥♥♥
481,              Loren Kikon            ,I love it ❤❤
482,              샌두의집 Sandu House            ,하악~~~ 텐동 너무 좋죠~♡ 내일 점심은 텐동이다!!
483,              Ynah Librea            ,Hello miss boki ur so pretty 🥺🥺
484,              neil baltazar            ,Eat with boki so beautiful ❤
485,              ARMY Raya Brnb Plms            ,Your so beautiful!!
486,              TRISA KOLE            ,Please make a video on Indian food🥺❤
487,              Amanda G            ,You should definitely start showing how you cook it. Makes me hungry for all the things you eat.  Lol
488,              깔꼼스            ,맛있겠어요  바삭바삭  소리도  듣기좋아요  잘보구  가요
489,              ㅎㅎㅎㅎㅎ            ,김치우동 맛있겠다ㅜㅜㅜㅜ!!!! 🥺💕
490,              꾸리꾸리쿠카쿠카ᄏᄏᄏ            ,ㅠ공복인대ㅠ
491,              비아            ,역대급 리얼사운드라니...😭😭넘오 좋아요
492,              만두만두만두            ,언니 노란옷 넘 잘어울려!
493,              Spandana            ,Boki will u do convience store mukbang pls no one will do as your mukbang yours are soo satisfying.
494,              Mariz esparcia            ,"나는 boki의 소개를 따르고, Aneyonghaseyo boki oh 😆😆. . I love watching your vlog.볼 때마다 배가 두드려 배고파"
495,              맨날 33에서틸트함            ,1분전은 못참지 오늘 치킨 뜯고 보는 중
496,              Sela            ,buat konten mukbang nya ampir tiap hari tapi badan nya tetep keliatan kurus🥺Andai aku begitu😭
497,              An Phạm Đức            ,yummy^^
498,              Mari K            ,악 미쳤다
499,              kane kim            ,복희🤗🤗🤗
500,              ALIFA_SARA            ,언니 넌 너무 아름다워❤️
501,              dahyun _dubu            ,😍💖✨🌸precious
502,              최정우            ,한입만 5탄해주세요 ㅠㅠㅜ
503,              희원;            ,오오
504,              katana yoo            ,Boki unnie! HELLO ❤️
505,              Hakim Lee            ,언니가 좋아하는 인도네시아 음식이 있어요? 인도네시아 음식 먹방 좀 해주세요
506,              즐거운유진            ,너무 굿굿!!🙂
507,              이구아나            ,와........ 배고파... 생리통 땜에 아무것도 못 먹고 있었는데 언니 먹는거 보니까 대리만족 되네요!!!
508,              여자친구 버디            ,으아...먹고싶다...야식 시켜먹어야 되겠응...복희님!! 오늘은 야식먹는날!
509,              Sanfa Abdurahmaanfnf            ,satisfying 🤤
510,              우츠노미야시온이            ,잘먹는댜 이쁘게
511,              Genevieve Bogawit            ,Yum❤
512,              Ryo Mon            ,天ぷらのサクサクとした音に、久々に天ぷらを揚げたくなりました♪😊
513,              별하            ,언니기다렷어욤 맛있겠다
514,              Engeline Aleksandra Nsengiyumva            ,I’m so hungry🤤😍
515,              소녀슛            ,보자마자 배고프다
516,              garlicco            ,"Thank you for your video❤I'm Japanese and I hasn't known the combination ten-dong with sprinkles!!!(Japanese often eat it only with a sauce for ten-dong.)I'm glad to know the combination!!  I'll try it, too😋♡"
517,              알 사디틀림            ,넌 내 여동생처럼 보입니다. 나는 이라크 무슬림 🇮🇶 당신을 따르고 있다
518,              heyy stobbb ittt            ,그리워boki
519,              kung kamy            ,The crunchy sound.. Yummy
520,              nanosh as            ,Big love for you Boki my name is Nour from Syria love you so much 😍😍😍😍❤️😘
521,              구미김은영            ,너무 맛있게보여요~~
522,              Friendly Love            ,"Разве может желудок человека столько вместить, да еще и колой запивать)"
523,              Daniel Rpeea            ,Love u soooo sooooooooo soooooooooo  much bokiiiii ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ let's eat again 😋😋😋
524,              Marilou Velarde            ,hello watching from Philippines
525,              deegii deegii            ,yum😍🔥
526,              뀨뀨            ,항상 조합 너무 체고...😢언니 먹는거만 봐도 배불러잉ㅜㅜㅠㅜㅜ
527,              Geshana Naidoo            ,That's deep fried prawns look amazing
528,              santi widiew            ,"Hello, im from indonesia. I like your videos, but when you eating like a smile."
529,              りかさん            ,えぇーーーめっちゃ美味しそーー🤩🤩🤩天ぷら良い感じにあがってサクサク😋食べたいよ🙌🙌🙌
530,              윤나영            ,입이 엄청 커서 잘들어거네요!대박!
531,              星蜜千代鷹            ,天丼！最高ですね！てんつゆも美味しいけど、韓国はお醤油とふりかけ？なのかな。
532,              Bernard vai            ,Love your videos:)
533,              박민주            ,엉니 15분에 알람 떠서 지각일까봐 너무 심장 떨렸어요... 텐동은 한번도 안 먹어봤고 김치우동은 아는 맛이라서 더 미치겠군여오늘 엉니 착장은 귀염뽀짝 병아리 같으셔.. 전 밤 새가지구 피곤한데 언니 영상은 절대 놓칠 수 없쥬 오늘도 언니 보면서 힐링하고 갈게여♡♡
534,              LEZIEL ANN LUCERO            ,From Philippines 🇵🇭 hahaha chaarrr gutom na ako Boki 🥺
535,              김선희            ,아니 복희님 ...텐동 스케일 무엇이냐구여 대박적이다 세상에 .....튀김이 가지각색이네 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ맨첨에 반숙란 그냥 먹을때 속상햄ㅅ는데 역시나 복희님은 다 계획이 있었지 내가 철이없었지 ㅠㅠ감히 복희님이 반숙란을 한개만 시켰을라고!!!!! 밥 비벼먹는거보고 역시나 햇당 ....김부각에 올린 밥 떨어트리고 혼자 웃엇다 안웃었다...?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 암튼간 조합 쩝쩝박사 ..
536,              Kim Cheang            ,I love your  videos Ur so beautiful
537,              NT N Xinh vlog            ,Thích bả như xưa
538,              Rattana Tabta            ,สวย น่ารักมาก 🥰🥰
539,              Shariq Ahmed            ,Boki: Upload a lit and amazing new video here on YouTube 😍🔥🔥🔥💜Me: Smash the like button like it’s a bomb 💣💥😜
540,              itzz.mee_zea            ,❤❤🥰
541,              아가리좀작작나불대라주둥아리뽑아버리기전에            ,족발에 막국수나 당면 가득 드셔주세요!!! 제발료 ㅠㅠ
542,              Angella Nelson            ,Great videos💖💖
543,              mohamedsolsol sol            ,🇪🇬 멋진 음식을 먹는 소리 나는 이집트에서 던져있어.
544,              Su Chin ASMR            ,바삭한 튀긴 음식을 먹습니다. 맛좋은
545,              랜둔쨩            ,흐잉..배고팡..맛있겠다.
546,              김은정            ,복희님 잘 드셔주셔서 보기 좋습니다
547,              Tancy Dey            ,2th 😭😭❤️
548,              펭러뷰펭펭            ,보통 텐동이 밥도 간이 되어있는데 그냥 흰쌀밥이네요??? 집에서 만드신건가...
549,              Ci Priska            ,Boki eonni anyeong^^
550,              Dragonfly Miusha            ,Yey I allways wait for you
551,              Althea Alba            ,Hi unnie boki 😍😍😍😘
552,              지나는 배곺파            ,와 겁나 맛있겠당
553,              MIn Myat Moe            ,can you recommend for your fan korea place and main food
554,              더블브이 ASMR [double.v asmr]            ,복희님 오랜만에 왔는데 안본사이에 더 이뻐지셨네요 ㅎㅎ 역시 너무 맛있게 드시네요.. 텐동에 튀김이 저렇게 많은건 처음보는데 기분탓인가요??ㅎㅎ오늘도 영상 맛있게 잘 보고 갑니다.^^내일도 즐거운 하루되세요:)
555,              Allyna Davis            ,The food looks delicious 🤤😋
556,              Ma Jodi Odesza Lucero            ,ILY boki🥺🖤
557,              Hanna colleen Marcelo            ,I'm early!! ❤️
558,              Paᄅk Jiᄆin            ,Boki I feel you look like ^itzy Ryujin^💗💗
559,              밍나뇽            ,아아-! 온천달걀 밥에 비벼드셔야하는데-!!!!
560,              Nhell Picorro            ,Delicious 😋🤩
561,              이희제            ,배고프다
562,              mery            ,you have a beautiful smile🌷
563,              Mini Kim            ,너무 맛잇겟다 ㅎ 복희님 응원해요
564,              또또            ,보키님 ㅇㅅㅇ 우족찜 어떠세요!!???
565,              Akshu Rane            ,💜💜💜💜💜💜💜
566,              Cuddle钟灵财            ,Yummmmmmmy ^0^
567,              Liahnna Mae Pantas            ,Hi im your new subscriber all the way from Biliran island of philippines. Ive watch lot's of ur video i really like you. You are very beautyful. ❤❤ sarang hye u ❤❤
568,              rajveer mittru            ,Hello beautiful. Lots of love from India ☺.
569,              Ayesha Afrin            ,Looking so good 🤩🤩🤩🤩🤩🤩
570,              라서예            ,음 맛있는
571,              ASHLY FEI PATAUEG            ,안녕하세요 보키
572,              윙크 수정            ,닥치고떡볶이 떡볶이도 정말 맛있어요~^^소곱창떡볶이 로제떡볶이 소대창떡볶이 순대폭탄튀김 맛있게 먹는 모습 보고 싶어용
573,              Wenjan Umala            ,Hello boki... I really love watching you eating❤️😊😊
574,              LOREMAE P. DE ASIS            ,Can't believe I'm watching this at 2 am hahaha
575,              K-POP [케이팝]            ,Looks delicious!.... 🤤❤️❤️❤️
576,              Harien하롄            ,오늘도 잘보구가용♥
577,              Katalina Lemeki            ,luv your vidzzzzzz🥰
578,              ぴかぴか            ,日本では天つゆで食べます🇯🇵🌼🌼💓
579,              •- BlueSquid -•            ,ボキはすべてのようにすべてを楽しんでいます。シーフード。バーガー。すべてのようにうなずきます！( ･ั﹏･ั)
580,              호야            ,맛있겠다ㅠ
581,              Herle Mae Sumiguin            ,"Hi Boki,👋👋🥰🥰❣️❣️"
582,              Emmy Emmy            ,Mukbang indonesia food please...
583,              정은비            ,야채곱창에 깻잎쌈 먹어달라!!!!!
584,              강민주            ,ㅜㅜ 맛있겠다
585,              양희원            ,맛있게 먹네요
586,              Tipparat Glampuk            ,กินน่าอร่อยเหมือนเดิม 🥰♥️
587,              DANA'S DAILY LIFE            ,그...과일먹방해주세요
588,              Ruffamae Bucu            ,Filipino food try it for sure you will love it..💓Im a fan of your..
589,              Shao Yu Wang            ,哇！好想要吃啊😍
590,              charisya icha            ,Indonesia Hadir 🇮🇩👆
591,              Shuraba            ,와 2분전 대박 ㅋㅋㅋ 오늘 야식은 튀김이닷!!
592,              PARK chim chim            ,اللهم اني صائم
593,              YOU志偉            ,現在還有抓到他假吃嗎？
594,              John Ashkell            ,WAAAAA 🤤💕
595,              Diana Dheashinta            ,Crunch crunch crunch delicious ❤️❤️❤️❤️
596,              Taekookies            ,나는 당신의 먹는 쇼를 사랑합니다당신이 먹는 것만 봐도 배가 꽉 차한국어로 좀 나빠서 미안 해요I really love your eating show😍Just watching you eat makes me full😁Sorry I'm a bit bad at Korean 😅😅
597,              현서맨tv            ,맜있게드세요^^
598,              양양            ,헠헠 기다리고있었습니다ㅐ
599,              낭니            ,복희 선생님 혹시 어디 텐동이며 어디 김치우동인가요 저 진짜 너무 먹고싶어요
600,              Myrtó            ,💖
601,              Black Cat            ,"ซับไทยทำออกมาได้ดีมากเลยนะ เข้าถึงอารมณ์เลยอ่ะ555 พี่เค้าทานได้น่ากินด้วยจัง🤤ว่าแต่ มีคนไทยมาเม้นท์บ้างรึยังนะ🤔Oh! I come from Thailand.I like you video so much 💖💖( sorry, I so bad english.)"
602,              Simin Mhate            ,Why the hell I'm watching this I'm fasting 😭😭and I'm hungry as hell😞
603,              Kyubi Rowie            ,I love you Boki💖
604,              Sudenaz Aydın            ,Oruçlulara selam kxkdkdkdkdk
605,              HY C            ,와 맛있겠다... 근데 볼때마다 신기한게 어떻게 다 드시는 거에요???
606,              갑오징어            ,디저트 39 먹어주세요!
607,              한서인            ,맛있게 먹는 영상 보게 되면 기운을 받아서 잠재의식으로..  그런 음식을 먹게 되는 행운이 있어요 ~ 감사해요 ^^
608,              진            ,아무래도 좀 느끼하긴 하신가보네 콜라두캔...ㅠㅜ
609,              김수연            ,"언니,마지막으로,말할게,나,그녀를,사,랑해요,진짜 예쁘고 복스럽게 아웅 잘 먹어 아웅 아웅 웅"
610,              Anaru x10            ,Kia ora from New Zealand 👋🇳🇿
611,              forever            ,터키어 자막을 넣지 그래 난 항상 널 봐 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🥺🥺🥺🥺🥺🥺
612,              Leiy Piad            ,Kain muna bago mag comeback 🤧
613,              Krystell Jade            ,Loveyouuuu!!
614,              นานา เด็กใต้            ,น่ารักมากค่ะติดตามมานานแล้วค่ะ😊😊
615,              rdioe            ,LOOem reda 😋
616,              LOLOSAN099 unu            ,❤️❤️❤️❤️❤️
617,              Alexa Serjas            ,iloveu bokiii~Philippines
618,              SONE TAEYEON            ,I just finished eating but here I am
619,              임아윤            ,안본사람은 있어도 한번만 본사람은 없다❤❤❤
620,              Num molly            ,ติดตามทุกคลิปเลยค่ะ😍
621,              Okabe            ,Crypsy outside and Enoki inside haha 😂
622,              ねこ            ,tendon is  Japanese food😍😍😍
623,              이지수            ,문복희 먹방 소리가 너무 좋아요~❤️
624,              Kristine Casipe            ,Boki 😍
625,              Samantha Galvan            ,Todo se ve delicioso ❤
626,              Azelvia Mufti            ,Tolong ini translate nya kaya bahasa gaul indonesia wkwk
627,              Syaeyan Nicole            ,You sow beutiful boki ilove you sow much ❤️❤️❤️❤️
628,              Thảo Nguyên            ,Trừi ưi h này coi hok khác nào tự tra tấn mik😌
629,              Lan Hankok            ,Hi chị yêu(●´з`)♡
630,              Taekookies            ,Fan imnida
631,              함현빈            ,0hyunbin4 인스타 좀 받아주세오오오 누나ㅏㅠㅠㅜ
632,              Kathleen !            ,Hello Boki 💖
633,              기미상궁 [강터리] MJIS            ,후후바사삭 츄루룹 콤비네이션 좋아요😲
